Gene name,Gene stable ID version,Human gene stable ID,Human gene name,Human homology type,%id. target Human gene identical to query gene,%id. query gene identical to target Human gene,Human Gene-order conservation score,"Human orthology confidence [0 low, 1 high]",Mouse gene stable ID,Mouse gene name,Mouse homology type,%id. target Mouse gene identical to query gene,%id. query gene identical to target Mouse gene,Mouse Gene-order conservation score,"Mouse orthology confidence [0 low, 1 high]"
COQ4,ENSCJAG00000020013.5,ENSG00000167113,COQ4,ortholog_one2one,89.0566,89.0566,100.0,1.0,ENSMUSG00000026798,Coq4,ortholog_one2one,81.5094,81.203,50.0,0.0
COQ6,ENSCJAG00000065534.2,ENSG00000119723,COQ6,ortholog_one2one,97.0085,97.0085,100.0,1.0,ENSMUSG00000021235,Coq6,ortholog_one2one,88.0342,86.5546,100.0,1.0
COQ7,ENSCJAG00000019999.4,ENSG00000167186,COQ7,ortholog_one2one,90.7834,90.7834,100.0,1.0,ENSMUSG00000030652,Coq7,ortholog_one2one,76.9585,49.5549,75.0,0.0
COQ8A,ENSCJAG00000012948.5,ENSG00000163050,COQ8A,ortholog_one2one,95.8204,95.6723,75.0,1.0,ENSMUSG00000026489,Coq8a,ortholog_one2one,86.9969,87.1318,50.0,0.0
COQ8B,ENSCJAG00000014833.4,ENSG00000123815,COQ8B,ortholog_one2one,94.4853,94.4853,100.0,1.0,ENSMUSG00000003762,Coq8b,ortholog_one2one,83.6397,85.3659,100.0,1.0
COQ9,ENSCJAG00000012043.5,ENSG00000088682,COQ9,ortholog_one2one,96.2264,96.2264,100.0,1.0,ENSMUSG00000031782,Coq9,ortholog_one2one,89.9371,91.3738,100.0,1.0
CORIN,ENSCJAG00000018936.6,ENSG00000145244,CORIN,ortholog_one2one,93.762,93.762,100.0,1.0,ENSMUSG00000005220,Corin,ortholog_one2one,82.3417,77.089,75.0,1.0
CORO1A,ENSCJAG00000006672.4,ENSG00000102879,CORO1A,ortholog_one2one,98.0477,98.0477,100.0,1.0,ENSMUSG00000030707,Coro1a,ortholog_one2one,94.7939,94.7939,100.0,1.0
CORO1B,ENSCJAG00000000945.5,ENSG00000172725,CORO1B,ortholog_one2one,71.6841,98.364,100.0,1.0,ENSMUSG00000024835,Coro1b,ortholog_one2one,67.9583,94.2149,100.0,1.0
CORO1C,ENSCJAG00000015412.5,ENSG00000110880,CORO1C,ortholog_one2one,89.5636,99.5781,100.0,1.0,ENSMUSG00000004530,Coro1c,ortholog_one2one,87.4763,97.2574,100.0,1.0
CORO2A,ENSCJAG00000011027.5,ENSG00000106789,CORO2A,ortholog_one2one,77.3585,93.7143,100.0,1.0,ENSMUSG00000028337,Coro2a,ortholog_one2one,69.3396,81.2155,100.0,1.0
CORO2B,ENSCJAG00000002319.6,ENSG00000103647,CORO2B,ortholog_one2one,99.1684,99.375,100.0,1.0,ENSMUSG00000041729,Coro2b,ortholog_one2one,97.2973,97.5,100.0,1.0
CORO6,ENSCJAG00000013646.4,ENSG00000167549,CORO6,ortholog_one2one,98.3051,98.3051,100.0,1.0,ENSMUSG00000020836,Coro6,ortholog_one2one,95.5508,95.7537,100.0,1.0
CORO7,ENSCJAG00000019778.5,ENSG00000262246,CORO7,ortholog_one2one,81.3754,92.1081,100.0,1.0,ENSMUSG00000039637,Coro7,ortholog_one2one,74.4986,84.5987,100.0,1.0
CORT,ENSCJAG00000005085.5,ENSG00000241563,CORT,ortholog_one2one,80.9524,80.9524,100.0,1.0,ENSMUSG00000028971,Cort,ortholog_one2one,52.381,50.4587,100.0,1.0
COTL1,ENSCJAG00000047974.3,ENSG00000103187,COTL1,ortholog_one2one,99.2958,99.2958,100.0,1.0,ENSMUSG00000031827,Cotl1,ortholog_one2one,95.7747,95.7747,100.0,1.0
COX10,ENSCJAG00000041859.3,ENSG00000006695,COX10,ortholog_one2one,93.9052,93.9052,100.0,1.0,ENSMUSG00000042148,Cox10,ortholog_one2one,83.2957,83.2957,100.0,1.0
COX11,ENSCJAG00000011341.5,ENSG00000166260,COX11,ortholog_one2one,75.5172,79.3478,75.0,1.0,ENSMUSG00000020544,Cox11,ortholog_one2one,71.0345,74.9091,100.0,1.0
COX14,ENSCJAG00000072013.1,ENSG00000178449,COX14,ortholog_one2one,89.4737,89.4737,100.0,1.0,ENSMUSG00000023020,Cox14,ortholog_one2one,84.2105,84.2105,100.0,1.0
COX15,ENSCJAG00000017107.5,ENSG00000014919,COX15,ortholog_one2one,96.5854,96.5854,100.0,1.0,ENSMUSG00000040018,Cox15,ortholog_one2one,89.2683,88.6199,100.0,1.0
COX16,ENSCJAG00000082417.1,ENSG00000133983,COX16,ortholog_one2one,87.7358,87.7358,100.0,1.0,ENSMUSG00000091803,Cox16,ortholog_one2one,83.9623,83.9623,25.0,0.0
COX18,ENSCJAG00000014202.5,ENSG00000163626,COX18,ortholog_one2one,91.018,91.018,100.0,1.0,ENSMUSG00000035505,Cox18,ortholog_one2one,77.8443,78.3133,100.0,1.0
COX19,ENSCJAG00000038117.3,ENSG00000240230,COX19,ortholog_one2one,92.2222,92.2222,100.0,1.0,ENSMUSG00000045438,Cox19,ortholog_one2one,82.2222,80.4348,100.0,1.0
COX4I1,ENSCJAG00000017319.5,ENSG00000131143,COX4I1,ortholog_one2one,85.7988,85.7988,100.0,1.0,ENSMUSG00000031818,Cox4i1,ortholog_one2one,81.0651,81.0651,100.0,1.0
COX4I2,ENSCJAG00000045771.3,ENSG00000131055,COX4I2,ortholog_one2one,81.9767,82.4561,100.0,1.0,ENSMUSG00000009876,Cox4i2,ortholog_one2one,72.6744,72.6744,100.0,1.0
COX5B,ENSCJAG00000016911.4,ENSG00000135940,COX5B,ortholog_one2one,60.989,86.0465,100.0,1.0,ENSMUSG00000061518,Cox5b,ortholog_one2many,59.8901,84.4961,100.0,1.0
COX6B2,ENSCJAG00000079874.1,ENSG00000160471,COX6B2,ortholog_one2one,76.7442,75.0,100.0,1.0,ENSMUSG00000051811,Cox6b2,ortholog_one2one,67.4419,55.7692,100.0,1.0
COX7A1,ENSCJAG00000009585.4,ENSG00000161281,COX7A1,ortholog_one2one,86.25,87.3418,100.0,1.0,ENSMUSG00000074218,Cox7a1,ortholog_one2one,67.5,60.6742,50.0,0.0
COX7A2L,ENSCJAG00000061936.2,ENSG00000115944,COX7A2L,ortholog_one2one,95.5752,94.7368,100.0,1.0,ENSMUSG00000024248,Cox7a2l,ortholog_one2one,84.0708,70.8955,100.0,1.0
COX7B,ENSCJAG00000078536.1,ENSG00000131174,COX7B,ortholog_one2one,88.8889,90.0,100.0,1.0,ENSMUSG00000031231,Cox7b,ortholog_one2many,81.4815,82.5,100.0,1.0
COX7B2,ENSCJAG00000076426.1,ENSG00000170516,COX7B2,ortholog_one2one,90.1235,90.1235,100.0,1.0,ENSMUSG00000049387,Cox7b2,ortholog_one2one,58.0247,57.3171,100.0,1.0
COX8A,ENSCJAG00000074447.1,ENSG00000176340,COX8A,ortholog_one2one,81.1594,81.1594,100.0,1.0,ENSMUSG00000035885,Cox8a,ortholog_one2one,78.2609,78.2609,100.0,1.0
CP,ENSCJAG00000001377.5,ENSG00000047457,CP,ortholog_one2one,91.9266,94.0845,100.0,1.0,ENSMUSG00000003617,Cp,ortholog_one2one,80.6422,80.9392,50.0,0.0
CPA2,ENSCJAG00000010612.4,ENSG00000158516,CPA2,ortholog_one2one,80.9524,93.3174,0.0,1.0,ENSMUSG00000071553,Cpa2,ortholog_one2one,72.8778,84.4125,0.0,0.0
CPA3,ENSCJAG00000001501.5,ENSG00000163751,CPA3,ortholog_one2one,92.5659,92.5659,100.0,1.0,ENSMUSG00000001865,Cpa3,ortholog_one2one,79.6163,79.6163,100.0,1.0
CPA4,ENSCJAG00000010655.5,ENSG00000128510,CPA4,ortholog_one2one,91.924,91.924,75.0,1.0,ENSMUSG00000039070,Cpa4,ortholog_one2one,83.6105,83.8095,75.0,1.0
CPA5,ENSCJAG00000010683.4,ENSG00000158525,CPA5,ortholog_one2one,91.055,91.055,75.0,1.0,ENSMUSG00000029788,Cpa5,ortholog_one2one,80.7339,80.7339,75.0,1.0
CPA6,ENSCJAG00000004849.5,ENSG00000165078,CPA6,ortholog_one2one,97.0252,97.0252,100.0,1.0,ENSMUSG00000042501,Cpa6,ortholog_one2one,84.2105,84.0183,100.0,1.0
CPAMD8,ENSCJAG00000009438.5,ENSG00000160111,CPAMD8,ortholog_one2one,90.2326,92.626,100.0,1.0,ENSMUSG00000059908,Mug1,ortholog_many2many,21.4987,28.1843,0.0,0.0
CPB1,ENSCJAG00000001510.5,ENSG00000153002,CPB1,ortholog_one2one,91.6067,91.6067,100.0,1.0,ENSMUSG00000011463,Cpb1,ortholog_one2one,74.3405,74.6988,75.0,1.0
CPB2,ENSCJAG00000016797.4,ENSG00000080618,CPB2,ortholog_one2one,89.3617,89.3617,100.0,1.0,ENSMUSG00000021999,Cpb2,ortholog_one2one,81.3239,81.5166,100.0,1.0
CPD,ENSCJAG00000013845.4,ENSG00000108582,CPD,ortholog_one2one,96.6594,96.4493,75.0,1.0,ENSMUSG00000020841,Cpd,ortholog_one2one,91.7938,91.7938,50.0,0.0
CPE,ENSCJAG00000009311.5,ENSG00000109472,CPE,ortholog_one2one,95.749,99.3698,50.0,1.0,ENSMUSG00000037852,Cpe,ortholog_one2one,93.3198,96.8487,50.0,0.0
CPEB1,ENSCJAG00000016048.5,ENSG00000214575,CPEB1,ortholog_one2one,97.5221,93.7075,50.0,1.0,ENSMUSG00000025586,Cpeb1,ortholog_one2one,94.1593,94.6619,50.0,0.0
CPEB2,ENSCJAG00000038767.3,ENSG00000137449,CPEB2,ortholog_one2one,95.5812,96.2282,100.0,1.0,ENSMUSG00000039782,Cpeb2,ortholog_one2one,90.2017,91.8787,100.0,1.0
CPEB3,ENSCJAG00000008495.5,ENSG00000107864,CPEB3,ortholog_one2one,89.9346,98.5673,100.0,1.0,ENSMUSG00000039652,Cpeb3,ortholog_one2one,90.9804,97.2067,100.0,1.0
CPEB4,ENSCJAG00000019166.4,ENSG00000113742,CPEB4,ortholog_one2one,99.4513,99.4513,75.0,1.0,ENSMUSG00000020300,Cpeb4,ortholog_one2one,98.3539,98.3539,75.0,1.0
CPED1,ENSCJAG00000017180.5,ENSG00000106034,CPED1,ortholog_one2one,92.9772,91.6179,100.0,1.0,ENSMUSG00000062980,Cped1,ortholog_one2one,73.2938,72.2222,100.0,1.0
CPLANE1,ENSCJAG00000018003.5,ENSG00000197603,CPLANE1,ortholog_one2one,87.8834,89.0188,100.0,1.0,ENSMUSG00000039801,Cplane1,ortholog_one2one,63.6805,65.2458,100.0,1.0
CPLANE2,ENSCJAG00000008314.5,ENSG00000132881,CPLANE2,ortholog_one2one,95.3488,95.3488,100.0,1.0,ENSMUSG00000073733,Cplane2,ortholog_one2one,88.3721,88.3721,100.0,1.0
CPLX1,ENSCJAG00000042465.3,ENSG00000168993,CPLX1,ortholog_one2one,53.8462,99.2537,100.0,1.0,ENSMUSG00000033615,Cplx1,ortholog_one2one,53.0364,97.7612,100.0,1.0
CPLX2,ENSCJAG00000074026.1,ENSG00000145920,CPLX2,ortholog_one2one,85.3503,100.0,75.0,1.0,ENSMUSG00000025867,Cplx2,ortholog_one2one,85.3503,100.0,75.0,1.0
CPLX3,ENSCJAG00000038349.3,ENSG00000213578,CPLX3,ortholog_one2one,99.3671,99.3671,100.0,1.0,ENSMUSG00000039714,Cplx3,ortholog_one2one,94.9367,94.9367,100.0,1.0
CPLX4,ENSCJAG00000038431.3,ENSG00000166569,CPLX4,ortholog_one2one,98.125,98.125,100.0,1.0,ENSMUSG00000024519,Cplx4,ortholog_one2one,91.875,91.875,100.0,1.0
CPM,ENSCJAG00000001828.5,ENSG00000135678,CPM,ortholog_one2one,94.5946,94.8081,50.0,1.0,ENSMUSG00000020183,Cpm,ortholog_one2one,83.3333,83.5214,75.0,1.0
CPN1,ENSCJAG00000017197.4,ENSG00000120054,CPN1,ortholog_one2one,93.2462,93.4498,100.0,1.0,ENSMUSG00000025196,Cpn1,ortholog_one2one,81.2636,81.6193,100.0,1.0
CPN2,ENSCJAG00000022226.4,ENSG00000178772,CPN2,ortholog_one2one,84.629,87.8899,100.0,1.0,ENSMUSG00000023176,Cpn2,ortholog_one2one,64.6643,66.9104,100.0,1.0
CPNE1,ENSCJAG00000063806.2,ENSG00000214078,CPNE1,ortholog_one2one,96.1255,97.0205,100.0,1.0,,,,,,,
CPNE2,ENSCJAG00000012206.5,ENSG00000140848,CPNE2,ortholog_one2one,57.2531,67.7007,100.0,1.0,ENSMUSG00000034361,Cpne2,ortholog_one2one,54.321,64.2336,100.0,1.0
CPNE3,ENSCJAG00000000264.5,ENSG00000085719,CPNE3,ortholog_one2one,87.4101,90.5028,100.0,1.0,ENSMUSG00000028228,Cpne3,ortholog_one2one,85.2518,88.9306,100.0,1.0
CPNE4,ENSCJAG00000003118.5,ENSG00000196353,CPNE4,ortholog_one2one,96.6957,99.8205,100.0,1.0,ENSMUSG00000032564,Cpne4,ortholog_one2one,96.1739,99.2819,100.0,1.0
CPNE5,ENSCJAG00000016086.4,ENSG00000124772,CPNE5,ortholog_one2one,97.0492,99.8314,100.0,1.0,ENSMUSG00000024008,Cpne5,ortholog_one2one,95.2459,97.9764,100.0,1.0
CPNE6,ENSCJAG00000007314.4,ENSG00000100884,CPNE6,ortholog_one2one,89.2548,92.4596,100.0,1.0,ENSMUSG00000022212,Cpne6,ortholog_one2one,88.3882,91.5619,100.0,1.0
CPNE7,ENSCJAG00000010770.6,ENSG00000178773,CPNE7,ortholog_one2one,67.2173,94.8029,100.0,1.0,ENSMUSG00000034796,Cpne7,ortholog_one2one,63.1512,89.228,100.0,1.0
CPNE8,ENSCJAG00000018036.5,ENSG00000139117,CPNE8,ortholog_one2one,99.4681,99.4681,100.0,1.0,ENSMUSG00000052560,Cpne8,ortholog_one2one,98.5816,96.3605,100.0,1.0
CPO,ENSCJAG00000005991.5,ENSG00000144410,CPO,ortholog_one2one,93.0481,93.0481,100.0,1.0,,,,,,,
CPOX,ENSCJAG00000000664.5,ENSG00000080819,CPOX,ortholog_one2one,84.9287,91.8502,100.0,1.0,ENSMUSG00000022742,Cpox,ortholog_one2one,73.7271,81.7156,100.0,1.0
CPQ,ENSCJAG00000020579.5,ENSG00000104324,CPQ,ortholog_one2one,84.981,94.7034,75.0,1.0,ENSMUSG00000039007,Cpq,ortholog_one2one,76.9962,86.1702,25.0,0.0
CPS1,ENSCJAG00000010985.5,ENSG00000021826,CPS1,ortholog_one2one,97.1467,97.6,100.0,1.0,ENSMUSG00000025991,Cps1,ortholog_one2one,94.4924,94.9333,100.0,1.0
CPSF1,ENSCJAG00000021421.5,ENSG00000071894,CPSF1,ortholog_one2one,98.8211,98.7526,100.0,1.0,ENSMUSG00000034022,Cpsf1,ortholog_one2one,95.7698,95.2414,100.0,1.0
CPSF2,ENSCJAG00000018069.5,ENSG00000165934,CPSF2,ortholog_one2one,97.5,99.7442,50.0,1.0,ENSMUSG00000041781,Cpsf2,ortholog_one2one,95.75,97.954,100.0,1.0
CPSF3,ENSCJAG00000006276.4,ENSG00000119203,CPSF3,ortholog_one2one,99.4152,99.4152,100.0,1.0,ENSMUSG00000054309,Cpsf3,ortholog_one2one,98.538,98.538,100.0,1.0
CPSF4,ENSCJAG00000015826.4,ENSG00000160917,CPSF4,ortholog_one2one,100.0,100.0,100.0,1.0,ENSMUSG00000029625,Cpsf4,ortholog_one2one,99.2565,99.2565,100.0,1.0
CPSF6,ENSCJAG00000001798.5,ENSG00000111605,CPSF6,ortholog_one2one,93.7075,100.0,50.0,1.0,ENSMUSG00000055531,Cpsf6,ortholog_one2one,99.6599,99.6599,100.0,1.0
CPSF7,ENSCJAG00000019282.6,ENSG00000149532,CPSF7,ortholog_one2one,81.6254,100.0,100.0,1.0,ENSMUSG00000034820,Cpsf7,ortholog_one2one,82.1555,98.7261,100.0,1.0
CPT1A,ENSCJAG00000015871.5,ENSG00000110090,CPT1A,ortholog_one2one,95.6016,95.6016,100.0,1.0,ENSMUSG00000024900,Cpt1a,ortholog_one2one,86.8047,86.8047,100.0,1.0
CPT1B,ENSCJAG00000018317.5,ENSG00000205560,CPT1B,ortholog_one2one,94.9482,94.9482,100.0,1.0,ENSMUSG00000078937,Cpt1b,ortholog_one2one,87.4352,87.4352,100.0,1.0
CPT1C,ENSCJAG00000003757.4,ENSG00000169169,CPT1C,ortholog_one2one,96.6376,96.6376,100.0,1.0,ENSMUSG00000007783,Cpt1c,ortholog_one2one,82.6899,83.208,100.0,1.0
CPT2,ENSCJAG00000004512.5,ENSG00000157184,CPT2,ortholog_one2one,95.4407,95.4407,100.0,1.0,ENSMUSG00000028607,Cpt2,ortholog_one2one,87.538,87.538,100.0,1.0
CPTP,ENSCJAG00000011139.3,ENSG00000224051,CPTP,ortholog_one2one,90.6542,90.6542,100.0,1.0,ENSMUSG00000029073,Cptp,ortholog_one2one,77.5701,76.8519,100.0,1.0
CPVL,ENSCJAG00000008379.5,ENSG00000106066,CPVL,ortholog_one2one,85.9244,85.9244,100.0,1.0,ENSMUSG00000052955,Cpvl,ortholog_one2one,71.4286,71.1297,100.0,1.0
CPXM1,ENSCJAG00000021048.5,ENSG00000088882,CPXM1,ortholog_one2one,93.844,93.4605,100.0,1.0,ENSMUSG00000027408,Cpxm1,ortholog_one2one,83.7209,84.7645,100.0,1.0
CPXM2,ENSCJAG00000046273.3,ENSG00000121898,CPXM2,ortholog_one2one,95.1058,95.1058,100.0,1.0,ENSMUSG00000030862,Cpxm2,ortholog_one2one,89.2857,88.3508,100.0,1.0
CPZ,ENSCJAG00000021495.5,ENSG00000109625,CPZ,ortholog_one2one,93.2722,93.5583,75.0,1.0,ENSMUSG00000036596,Cpz,ortholog_one2one,81.6514,81.6514,100.0,1.0
CR1L,ENSCJAG00000003843.5,ENSG00000197721,CR1L,ortholog_one2one,83.7743,83.4798,100.0,1.0,,,,,,,
CR2,ENSCJAG00000018263.5,ENSG00000117322,CR2,ortholog_one2one,87.1677,87.0879,100.0,1.0,ENSMUSG00000026616,Cr2,ortholog_one2one,62.1448,48.1534,50.0,0.0
CRABP1,ENSCJAG00000006115.5,ENSG00000166426,CRABP1,ortholog_one2one,100.0,100.0,100.0,1.0,ENSMUSG00000032291,Crabp1,ortholog_one2one,99.2701,99.2701,100.0,1.0
CRABP2,ENSCJAG00000083721.1,ENSG00000143320,CRABP2,ortholog_one2one,62.4365,89.1304,100.0,1.0,ENSMUSG00000004885,Crabp2,ortholog_one2one,58.8832,84.058,100.0,1.0
CRACD,ENSCJAG00000018115.5,ENSG00000109265,CRACD,ortholog_one2one,86.4777,86.618,100.0,1.0,ENSMUSG00000036377,Cracd,ortholog_one2one,65.4251,58.7209,100.0,1.0
CRACDL,ENSCJAG00000072755.1,ENSG00000196872,CRACDL,ortholog_one2one,71.2683,85.8628,100.0,1.0,ENSMUSG00000026090,Cracdl,ortholog_one2one,50.4745,49.7872,100.0,0.0
CRACR2A,ENSCJAG00000018917.4,ENSG00000130038,CRACR2A,ortholog_one2one,92.2025,92.2025,75.0,1.0,ENSMUSG00000061414,Cracr2a,ortholog_one2one,80.1642,80.7163,50.0,0.0
CRACR2B,ENSCJAG00000011785.5,ENSG00000177685,CRACR2B,ortholog_one2one,86.6667,91.2281,100.0,1.0,ENSMUSG00000048200,Cracr2b,ortholog_one2one,71.1905,75.8883,100.0,1.0
CRAMP1,ENSCJAG00000014596.5,ENSG00000007545,CRAMP1,ortholog_one2one,94.633,94.4838,100.0,1.0,ENSMUSG00000038002,Cramp1,ortholog_one2one,82.0047,80.856,75.0,1.0
CRAT,ENSCJAG00000020293.5,ENSG00000095321,CRAT,ortholog_one2one,96.4856,96.4856,100.0,1.0,ENSMUSG00000026853,Crat,ortholog_one2one,91.3738,91.3738,100.0,1.0
CRB1,ENSCJAG00000004825.5,ENSG00000134376,CRB1,ortholog_one2one,91.8208,91.8208,100.0,1.0,ENSMUSG00000063681,Crb1,ortholog_one2one,75.5334,75.5872,100.0,1.0
CRB2,ENSCJAG00000006432.5,ENSG00000148204,CRB2,ortholog_one2one,90.0077,90.428,100.0,1.0,ENSMUSG00000035403,Crb2,ortholog_one2one,76.6073,77.1451,100.0,1.0
CRB3,ENSCJAG00000044939.3,ENSG00000130545,CRB3,ortholog_one2one,74.0157,78.3333,100.0,1.0,ENSMUSG00000044279,Crb3,ortholog_one2one,65.3543,70.9402,100.0,1.0
CRCP,ENSCJAG00000004225.4,ENSG00000241258,CRCP,ortholog_one2one,95.2703,95.2703,50.0,1.0,ENSMUSG00000025532,Crcp,ortholog_one2one,87.8378,87.8378,75.0,1.0
CRCT1,ENSCJAG00000048030.2,ENSG00000169509,CRCT1,ortholog_one2one,87.619,92.9293,50.0,1.0,,,,,,,
CREB1,ENSCJAG00000006039.5,ENSG00000118260,CREB1,ortholog_one2one,95.6012,99.6942,100.0,1.0,ENSMUSG00000025958,Creb1,ortholog_one2one,99.4135,99.4135,100.0,1.0
CREB3L1,ENSCJAG00000011726.5,ENSG00000157613,CREB3L1,ortholog_one2one,98.0732,98.0732,100.0,1.0,ENSMUSG00000027230,Creb3l1,ortholog_one2one,92.8709,92.6923,100.0,1.0
CREB3L2,ENSCJAG00000012834.5,ENSG00000182158,CREB3L2,ortholog_one2one,97.3077,97.3077,100.0,1.0,ENSMUSG00000038648,Creb3l2,ortholog_one2one,91.1538,90.9789,100.0,1.0
CREB3L3,ENSCJAG00000015105.5,ENSG00000060566,CREB3L3,ortholog_one2one,78.7419,78.7419,100.0,1.0,ENSMUSG00000035041,Creb3l3,ortholog_one2one,61.8221,59.499,50.0,0.0
CREB3L4,ENSCJAG00000009978.4,ENSG00000143578,CREB3L4,ortholog_one2one,95.9391,95.6962,100.0,1.0,ENSMUSG00000027938,Creb3l4,ortholog_one2one,67.0051,71.3513,100.0,1.0
CREB5,ENSCJAG00000042700.3,ENSG00000146592,CREB5,ortholog_one2one,99.4094,99.4094,100.0,1.0,ENSMUSG00000053007,Creb5,ortholog_one2one,97.0472,97.0472,100.0,1.0
CREBBP,ENSCJAG00000019712.6,ENSG00000005339,CREBBP,ortholog_one2one,97.9584,98.2392,100.0,1.0,ENSMUSG00000022521,Crebbp,ortholog_one2one,95.1,95.4117,100.0,1.0
CREBL2,ENSCJAG00000021638.5,ENSG00000111269,CREBL2,ortholog_one2one,99.1667,99.1667,100.0,1.0,ENSMUSG00000032652,Crebl2,ortholog_one2one,92.5,90.2439,100.0,1.0
CREBRF,ENSCJAG00000019193.5,ENSG00000164463,CREBRF,ortholog_one2one,97.8125,97.9656,100.0,1.0,ENSMUSG00000048249,Crebrf,ortholog_one2one,88.125,86.3706,100.0,1.0
CREG1,ENSCJAG00000077028.1,ENSG00000143162,CREG1,ortholog_one2one,81.25,94.5455,100.0,1.0,ENSMUSG00000040713,Creg1,ortholog_one2one,64.8438,75.4545,100.0,1.0
CREG2,ENSCJAG00000065818.2,ENSG00000175874,CREG2,ortholog_one2one,94.4238,87.5862,100.0,1.0,ENSMUSG00000050967,Creg2,ortholog_one2one,83.2714,77.7778,100.0,1.0
CRELD1,ENSCJAG00000016240.5,ENSG00000163703,CRELD1,ortholog_one2one,95.7143,95.7143,100.0,1.0,ENSMUSG00000030284,Creld1,ortholog_one2one,90.4762,90.4762,100.0,1.0
CRELD2,ENSCJAG00000016693.6,ENSG00000184164,CRELD2,ortholog_one2one,78.6967,88.9518,75.0,1.0,ENSMUSG00000023272,Creld2,ortholog_one2one,66.1654,75.4286,100.0,1.0
CREM,ENSCJAG00000014066.5,ENSG00000095794,CREM,ortholog_one2one,78.2738,87.9599,100.0,1.0,ENSMUSG00000063889,Crem,ortholog_one2one,93.1548,87.6751,25.0,0.0
CRH,ENSCJAG00000048653.2,ENSG00000147571,CRH,ortholog_one2one,93.9086,94.3878,100.0,1.0,ENSMUSG00000049796,Crh,ortholog_one2one,74.6193,78.6096,50.0,0.0
CRHBP,ENSCJAG00000019970.5,ENSG00000145708,CRHBP,ortholog_one2one,97.205,97.205,100.0,1.0,ENSMUSG00000021680,Crhbp,ortholog_one2one,86.9565,85.1064,100.0,1.0
CRHR1,ENSCJAG00000085728.1,ENSG00000120088,CRHR1,ortholog_one2one,91.6667,98.0723,50.0,1.0,,,,,,,
CRHR2,ENSCJAG00000008694.5,ENSG00000106113,CRHR2,ortholog_one2one,86.0412,91.4842,100.0,1.0,ENSMUSG00000003476,Crhr2,ortholog_one2one,86.4989,87.703,75.0,1.0
CRIM1,ENSCJAG00000003575.4,ENSG00000150938,CRIM1,ortholog_one2one,70.5043,71.5251,100.0,1.0,ENSMUSG00000024074,Crim1,ortholog_one2one,64.0343,64.8987,100.0,1.0
CRIP1,ENSCJAG00000019788.4,ENSG00000213145,CRIP1,ortholog_one2one,96.1039,96.1039,100.0,1.0,ENSMUSG00000006360,Crip1,ortholog_one2one,97.4026,58.5938,100.0,1.0
CRIP2,ENSCJAG00000019783.5,ENSG00000182809,CRIP2,ortholog_one2one,77.4336,84.1346,100.0,1.0,ENSMUSG00000006356,Crip2,ortholog_one2one,73.4513,79.8077,100.0,1.0
CRIP3,ENSCJAG00000005390.4,ENSG00000146215,CRIP3,ortholog_one2one,94.6078,94.6078,100.0,1.0,ENSMUSG00000023968,Crip3,ortholog_one2one,80.8824,67.6229,100.0,1.0
CRIPT,ENSCJAG00000043662.2,ENSG00000119878,CRIPT,ortholog_one2one,100.0,100.0,100.0,1.0,ENSMUSG00000024146,Cript,ortholog_one2one,99.0099,99.0099,100.0,1.0
CRISP1,ENSCJAG00000011614.4,ENSG00000124812,CRISP1,ortholog_one2one,85.9438,85.9438,100.0,1.0,ENSMUSG00000025774,Crisp4,ortholog_one2one,61.4458,52.2184,50.0,0.0
CRISP2,ENSCJAG00000047298.3,ENSG00000124490,CRISP2,ortholog_one2one,76.7857,88.4774,100.0,1.0,ENSMUSG00000023930,Crisp2,ortholog_one2one,59.2857,68.3128,25.0,0.0
CRISPLD1,ENSCJAG00000000549.5,ENSG00000121005,CRISPLD1,ortholog_one2one,84.0467,86.4,100.0,1.0,ENSMUSG00000025776,Crispld1,ortholog_one2one,81.7121,84.0,50.0,0.0
CRISPLD2,ENSCJAG00000004090.6,ENSG00000103196,CRISPLD2,ortholog_one2one,93.159,93.159,100.0,1.0,ENSMUSG00000031825,Crispld2,ortholog_one2one,76.8612,77.1717,100.0,1.0
CRK,ENSCJAG00000002099.4,ENSG00000167193,CRK,ortholog_one2one,99.6711,99.6711,75.0,1.0,ENSMUSG00000017776,Crk,ortholog_one2one,99.3421,99.3421,75.0,1.0
CRKL,ENSCJAG00000057682.2,ENSG00000099942,CRKL,ortholog_one2one,99.3399,99.3399,100.0,1.0,ENSMUSG00000006134,Crkl,ortholog_one2one,96.6997,96.6997,100.0,1.0
CRLF1,ENSCJAG00000007427.6,ENSG00000006016,CRLF1,ortholog_one2one,98.8124,98.5782,100.0,1.0,ENSMUSG00000007888,Crlf1,ortholog_one2one,96.1995,95.2941,100.0,1.0
CRLF3,ENSCJAG00000039568.3,ENSG00000176390,CRLF3,ortholog_one2one,98.19,98.19,50.0,1.0,ENSMUSG00000017561,Crlf3,ortholog_one2one,92.3077,92.3077,100.0,1.0
CRLS1,ENSCJAG00000021302.5,ENSG00000088766,CRLS1,ortholog_one2one,93.3555,93.3555,100.0,1.0,ENSMUSG00000027357,Crls1,ortholog_one2one,85.3821,84.8185,100.0,1.0
CRMP1,ENSCJAG00000010648.6,ENSG00000072832,CRMP1,ortholog_one2one,98.688,98.688,100.0,1.0,ENSMUSG00000029121,Crmp1,ortholog_one2one,96.5015,96.5015,100.0,1.0
